"locationname","location","party","partyname","measure","Measure","frequency","Frequency","entityname","entity","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","amount","Flag Codes","Flags"
"LUX","Luxembourg","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.126334,,
"LUX","Luxembourg","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.558026,,
"MEX","Mexico","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.063764,,
"MEX","Mexico","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.095888,,
"MEX","Mexico","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,2.78739,,
"MEX","Mexico","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,2.736688,,
"MEX","Mexico","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,2.897512,,
"MEX","Mexico","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,2.880653,,
"NLD","Netherlands","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,4.043504,,
"NLD","Netherlands","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.815104,,
"NLD","Netherlands","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.151792,,
"NLD","Netherlands","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,2.955182,,
"NLD","Netherlands","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.57399,,
"NLD","Netherlands","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.361039,,
"NZL","New Zealand","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,4.159571,,
"NZL","New Zealand","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.0336,,
"NZL","New Zealand","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,2.698842,,
"NZL","New Zealand","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,2.596947,,
"NZL","New Zealand","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.404699,,
"NZL","New Zealand","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.289983,,
"NOR","Norway","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.146601,,
"NOR","Norway","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.292574,,
"NOR","Norway","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.806597,,
"NOR","Norway","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.731059,,
"NOR","Norway","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.494187,,
"NOR","Norway","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.522942,,
"POL","Poland","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,4.26936,,
"POL","Poland","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.005841,,
"POL","Poland","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.996915,,
"POL","Poland","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.781669,,
"POL","Poland","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,4.121662,,
"POL","Poland","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.88451,,
"PRT","Portugal","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,8.170594,,
"PRT","Portugal","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,7.44822,,
"PRT","Portugal","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,6.90483,,
"PRT","Portugal","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,6.677425,,
"PRT","Portugal","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,7.54312,,
"PRT","Portugal","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,7.065749,,
"SVK","Slovak Republic","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,7.694735,,
